STORE NAME,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,,,,,,
ASHLAND FOOD AND LIQUORS,WASHINGTON HEIGHTS,73,21,,,,,,
ROSE-RIDGE FOODS,ROSELAND,49,9,,,,,,
COTTAGE GROVE FOOD MART,WOODLAWN,42,20,,,,,,
T & Z MEAT,BELMONT CRAGIN,19,31,,,,,,
"LA LOMA ""CARNICERIA Y TAQUERIA""",BELMONT CRAGIN,19,31,,,,,,
CARNICERIA JIMENEZ #2,LOGAN SQUARE,22,30,,,,,,
HOA NOM CO,UPTOWN,3,48,,,,,,
ROYLA BLUE FOODS,BRIGHTON PARK,58,12,,,,,,
JEWEL FOOD STORE #3057,CHICAGO LAWN,66,16,,,,,,
QUINTESSENCE,HUMBOLDT PARK,23,30,,,,,,
CERMAK PRODUCE,IRVING PARK,16,33,,,,,,
OLD WORLD MARKET,UPTOWN,3,48,,,,,,
MEHRAB ZABIHA MEAT & TOBACCO,WEST RIDGE,2,50,,,,,,
KING FOOD & LIQUOR,ENGLEWOOD,68,6,,,,,,
PAULINA SUPER MARKET INC,ROGERS PARK,1,49,,,,,,
ALDI FOODS-STORE #27,IRVING PARK,16,30,,,,,,
ALDI INC STORE #62,LOWER WEST SIDE,31,25,,,,,,
"MY RANCH, INC.",UPTOWN,3,46,,,,,,
SAVE-A-LOT  #851,MORGAN PARK,75,34,,,,,,
MARIO 'S BUTCHER SHOP FD CNTR,AUSTIN,25,29,,,,,,
BOCKWINKELS,LOOP,32,42,,,,,,
SUPERMERCADO ALEX,SOUTH LAWNDALE,30,22,,,,,,
HALAL MEAT & GROCERY,ROGERS PARK,1,40,,,,,,
SOUTH SHORE FOOD MARKET INC.,SOUTH SHORE,43,8,,,,,,
SUPERMERCADO EL MEXICANO,ROGERS PARK,1,49,,,,,,
LA PROVIDENCIA FOOD MART,LOWER WEST SIDE,31,25,,,,,,
ALDI #79,AVALON PARK,45,5,,,,,,
DOMINICK'S # 86/1086,NORTH CENTER,5,47,,,,,,
FAMILY PRIDE,MOUNT GREENWOOD,74,19,,,,,,
ALDI INC #58,NORTH CENTER,5,47,,,,,,
CARNICERIA LA VILLA #2,BELMONT CRAGIN,19,37,,,,,,
TREASURE ISLAND FOODS INC,NEAR NORTH SIDE,8,42,,,,,,
JEWEL FOOD STORE #3241,WEST TOWN,24,1,,,,,,
WHOLE FOODS MARKET,NEAR NORTH SIDE,8,32,,,,,,
JOSEPH FOOD MART,DUNNING,17,36,,,,,,
HARPER FOODS,HYDE PARK,41,5,,,,,,
POTASH BROS. SUPERMARKET,NEAR NORTH SIDE,8,42,,,,,,
Baltimore Food & Liquor,HEGEWISCH,55,10,,,,,,
Supermercado Santos,SOUTH LAWNDALE,30,22,,,,,,
CERMAK PRODUCE,BELMONT CRAGIN,19,31,,,,,,
NICKEL LIQUOR & MINI MART INC,HUMBOLDT PARK,23,27,,,,,,
TRADER JOE'S EAST,LINCOLN PARK,7,32,,,,,,
WALGREENS #162,HYDE PARK,41,4,,,,,,
"TONY'S FINER FOODS ENTERPRISES, INC.",IRVING PARK,16,39,,,,,,
Natural Country Deli,NORWOOD PARK,10,41,,,,,,
LOGAN CERTIFIED FOODS CORP,LOGAN SQUARE,22,35,,,,,,
JEWEL FOOD STORE #3170,WEST ELSDON,62,23,,,,,,
MOUNSEF INTERNATIONAL,ALBANY PARK,14,33,,,,,,
EL YUNQUE FOOD & LIQUOR,LOGAN SQUARE,22,35,,,,,,
"SEVEN NINE ELEVEN FOOD MART, INC.",ARCHER HEIGHTS,57,14,,,,,,
A & R FOOD MART,BELMONT CRAGIN,19,37,,,,,,
GRAND FOOD MARKET,BELMONT CRAGIN,19,37,,,,,,
SAM FOOD AND LIQUOR,ROGERS PARK,1,49,,,,,,
ALMUFLIHI FOOD & LIQUOR,NEW CITY,61,20,,,,,,
PETE'S MEAT & GROCERY #2,WEST ENGLEWOOD,67,17,,,,,,
FIVE STAR CERTIFIED INC,AUBURN GRESHAM,71,21,,,,,,
Dominick's #1703,NEAR NORTH SIDE,8,42,,,,,,
SUPER MERCADO EL GUERRO,NEW CITY,61,20,,,,,,
PETE'S FRESH SUPERMARKET,SOUTH LAWNDALE,30,28,,,,,,
Chicago Health - Maple Street,NEAR NORTH SIDE,8,42,,,,,,
NEW POP-IN,EAST GARFIELD PARK,27,28,,,,,,
W & R FOOD & LIQUOR INC,SOUTH CHICAGO,46,8,,,,,,
"Kan-Zaman Mart, Inc.",NEAR SOUTH SIDE,33,2,,,,,,
Z & S FOOD & LIQUOR,AUBURN GRESHAM,71,21,,,,,,
DEVON MARKET,ROGERS PARK,1,40,,,,,,
JEWEL FOOD STORE #3176,WASHINGTON HEIGHTS,73,21,,,,,,
ORLEANS MARKET,NEAR NORTH SIDE,8,42,,,,,,
CAESAR'S FOODS INC,WEST TOWN,24,32,,,,,,
HAPPY FOODS,EDISON PARK,9,41,,,,,,
"WAY LOW DISCOUNT FOOD, INC.",NORTH LAWNDALE,29,24,,,,,,
ZEE DOLLAR AND FOOD,GREATER GRAND CROSSING,69,6,,,,,,
J R GROCERY STORE,RIVERDALE,54,9,,,,,,
CENTRO MARKET,GAGE PARK,63,14,,,,,,
SAVE-A-LOT  #852,SOUTH SHORE,43,5,,,,,,
"TONY'S FINER FOODS ENTERPRISES, INC.",PORTAGE PARK,15,30,,,,,,
FOOD 4 LESS MIDWEST #789,NEW CITY,61,12,,,,,,
ADAMS FOOD MART,AUSTIN,25,28,,,,,,
DOLLAR & LINEN,AUBURN GRESHAM,71,21,,,,,,
ALDI INC STORE 14,AUSTIN,25,29,,,,,,
RICHWELL MARKET,LOWER WEST SIDE,31,25,,,,,,
WALGREENS #05034,CHICAGO LAWN,66,15,,,,,,
DOMINICK'S # 12/0012,EDGEWATER,77,48,,,,,,
BUDGET FINER FOODS,ROGERS PARK,1,49,,,,,,
DISCOUNT PANTRY CORPORATION,WEST LAWN,65,13,,,,,,
PAR BIRDIE FOODS,WEST RIDGE,2,50,,,,,,
JEWEL FOOD STORE #3441,LAKE VIEW,6,32,,,,,,
CHARLIES  SUPERMARKET INC.,IRVING PARK,16,33,,,,,,
JEWEL FOOD STORE #3501,NORTH CENTER,5,47,,,,,,
4343 PETES FRESH MARKET,ARCHER HEIGHTS,57,14,,,,,,
LA FERIA GROCERY,SOUTH DEERING,51,10,,,,,,
POTASH BROS INC,NEAR NORTH SIDE,8,42,,,,,,
IMPERIAL TOWER MARKET,UPTOWN,3,46,,,,,,
MOO & OINK INC,AUSTIN,25,28,,,,,,
Save-A-Lot #882,WASHINGTON PARK,40,20,,,,,,
MARKET IN THE PARK,KENWOOD,39,4,,,,,,
SUN LIQUORS,EDGEWATER,77,48,,,,,,
SUPERMERCADO CHAPALA,ROGERS PARK,1,49,,,,,,
SUPERMERCADO GELA'S,SOUTH LAWNDALE,30,22,,,,,,
FARM SUPER MARKET,WEST RIDGE,2,50,,,,,,
ALDI INC #53,GARFIELD RIDGE,56,23,,,,,,
ALDI INC #64,WEST TOWN,24,32,,,,,,
EDDIE & SON FOOD &LIQ.,HUMBOLDT PARK,23,26,,,,,,
LA CASA DEL PUEBLO INC,LOWER WEST SIDE,31,25,,,,,,
ALDI'S,UPTOWN,3,46,,,,,,
FAIRPLAY FINER FOOD,LOWER WEST SIDE,31,25,,,,,,
LARAMIE BAKERY & DELI,DUNNING,17,36,,,,,,
B & H FOOD & GROCERY,EAST GARFIELD PARK,27,28,,,,,,
FRUTERIA EL MERCADO,SOUTH LAWNDALE,30,22,,,,,,
MANDY'S LIQUOR,LINCOLN SQUARE,4,47,,,,,,
ALDI #28,BRIGHTON PARK,58,14,,,,,,
THE MARKET PLACE FOODSTORE,LINCOLN PARK,7,43,,,,,,
EDDIE'S FOOD MART,WEST ENGLEWOOD,67,15,,,,,,
RIVERSIDE DELI,LOGAN SQUARE,22,32,,,,,,
FOODSMART,LOGAN SQUARE,22,35,,,,,,
SUPERMARKET & TAQUERIA CARO,GARFIELD RIDGE,56,23,,,,,,
H & Z GROCERY STORE,LOGAN SQUARE,22,35,,,,,,
SEVEN ELEVEN,LAKE VIEW,6,47,,,,,,
ALDI FOODS #91,WEST GARFIELD PARK,26,28,,,,,,
ALDI'S,BELMONT CRAGIN,19,36,,,,,,
LORETO GROCERY,BRIGHTON PARK,58,12,,,,,,
LUX 2 FOOD & LIQUOR,AUBURN GRESHAM,71,17,,,,,,
AROUND THE CLOCK,ROGERS PARK,1,49,,,,,,
COUNTY FAIR FOODS,MORGAN PARK,75,19,,,,,,
LAWNDALE FOOD MARKET,NORTH LAWNDALE,29,24,,,,,,
"HYDE PARK PRODUCE, LTD",HYDE PARK,41,4,,,,,,
KHALIL FOOD & LIQUOR,ROSELAND,49,9,,,,,,
ALDI FOODS STORE #90B,BELMONT CRAGIN,19,31,,,,,,
SUNRISE FOOD AND LIQUORS,HUMBOLDT PARK,23,27,,,,,,
BOULEVARD FOOD & LIQUOR LLC,PORTAGE PARK,15,38,,,,,,
SAVE-A-LOT  # 858,SOUTH CHICAGO,46,7,,,,,,
ADA FOODS,WEST ENGLEWOOD,67,17,,,,,,
THE NEIGHBORHOOD STORE,AUBURN GRESHAM,71,21,,,,,,
"S & K FOOD & LIQUOR, INC.",SOUTH SHORE,43,7,,,,,,
AM-PM FOOD MART & CELLULAR,AVALON PARK,45,8,,,,,,
"MORELIA SUPERMARKET, INC.",WEST RIDGE,2,50,,,,,,
DOMINICKS #2890,EDGEWATER,77,48,,,,,,
WALMART,NEW CITY,61,3,,,,,,
ALDI'S #93,ASHBURN,70,18,,,,,,
TREASURE ISLAND FOODS,LAKE VIEW,6,44,,,,,,
OLIVE MOUNT MART,CHICAGO LAWN,66,15,,,,,,
JEWEL FOOD STORE #3407,EDGEWATER,77,40,,,,,,
FURTERIA EL SERRANITO,MCKINLEY PARK,59,11,,,,,,
PEORIA PACKING LTD,NEAR WEST SIDE,28,27,,,,,,
CARNICERIA JIMENEZ INC,HUMBOLDT PARK,23,30,,,,,,
EXTRA VALUE FOOD & LIQUOR,WEST ENGLEWOOD,67,16,,,,,,
GOLDMORE FOOD,NEW CITY,61,16,,,,,,
SOLID GOLD,NORTH LAWNDALE,29,24,,,,,,
Food 4 Less Midwest,WEST ENGLEWOOD,67,17,,,,,,
CLARENDON FOOD MART INC,UPTOWN,3,46,,,,,,
JEWEL FOOD STORE #3043,DOUGLAS,35,4,,,,,,
LA PLAMA,BRIGHTON PARK,58,14,,,,,,
SUPER MAS MARKET,NEW CITY,61,3,,,,,,
CARNICERIA EL PORVENIR,WEST PULLMAN,53,9,,,,,,
RJ Liquors,BELMONT CRAGIN,19,30,,,,,,
JEWEL FOOD STORE #3282,PORTAGE PARK,15,45,,,,,,
PRESTIGE LIQUORS,CHICAGO LAWN,66,18,,,,,,
"THREE ROOSTERS, INC.",WEST PULLMAN,53,34,,,,,,
BUY -N- SAVE,ROSELAND,49,9,,,,,,
A & B FOOD MARKET INC,AUSTIN,25,37,,,,,,
JEWEL FOOD STORE #3514,LAKE VIEW,6,46,,,,,,
MR G'S FOOD & LIQUOR,WASHINGTON PARK,40,20,,,,,,
ALDI INC STORE #90,AUBURN GRESHAM,71,21,,,,,,
SUPERMERCADO LA VILLA,BELMONT CRAGIN,19,31,,,,,,
CERMAK PRODUCE,HERMOSA,20,31,,,,,,
MELISSA'S FOOD & LIQUORS INC,HUMBOLDT PARK,23,27,,,,,,
LA MERCED INC,SOUTH LAWNDALE,30,22,,,,,,
J & A ORIENTAL FOOD MART,BELMONT CRAGIN,19,37,,,,,,
WEST HAVEN MARKET & GRILL,NEAR WEST SIDE,28,2,,,,,,
SAHAR INTERNATIONAL SUPERMARKET,ALBANY PARK,14,33,,,,,,
WALGREENS #2073,FULLER PARK,37,3,,,,,,
"PARK PACKING OF CHICAGO, INC.",NEW CITY,61,11,,,,,,
"R & S DISCOUNT FOOD, WINE, & LIQUOR",LOGAN SQUARE,22,1,,,,,,
CERMAK PRODUCE #5 LTD,MCKINLEY PARK,59,11,,,,,,
NATIONAL FRUIT STOP,ALBANY PARK,14,33,,,,,,
DOMINICK'S #160/1698,ROGERS PARK,1,49,,,,,,
JAMAICA FOOD & LIQUOR INC,GRAND BOULEVARD,38,4,,,,,,
"CARNICERIA LA MEJOR PRODUCE, INC.",AVONDALE,21,35,,,,,,
WHOLE FOODS MARKET,NEAR NORTH SIDE,8,42,,,,,,
BARI,WEST TOWN,24,27,,,,,,
JEWEL FOOD STORE #3454,NORTH CENTER,5,47,,,,,,
JOLANTA'S INTERNATIONAL DELI,JEFFERSON PARK,11,45,,,,,,
EL MILAGRO,SOUTH LAWNDALE,30,12,,,,,,
HARVESTIME FOODS,LINCOLN SQUARE,4,40,,,,,,
CHICAGO GROCERS,WEST RIDGE,2,50,,,,,,
NOOR MEAT,WEST RIDGE,2,50,,,,,,
TRATTORIA ISABELLA,NEAR WEST SIDE,28,42,,,,,,
DOLLAR DEALS & UP,HERMOSA,20,30,,,,,,
Save-A-Lot #886,GREATER GRAND CROSSING,69,17,,,,,,
L'APPETITO,NEAR NORTH SIDE,8,42,,,,,,
"TONY'S FINER FOODS ENTERPRISES, INC.",LOGAN SQUARE,22,35,,,,,,
JEWEL FOOD STORE #3139,EAST SIDE,52,10,,,,,,
SAVE-A-LOT  #859,WEST GARFIELD PARK,26,24,,,,,,
MICELI'S DELI & FOOD MART,LOWER WEST SIDE,31,25,,,,,,
DOMINICK'S # 130/1130,SOUTH SHORE,43,5,,,,,,
MA'S & PA'S GROCERY SNACK SHOP,EAST GARFIELD PARK,27,2,,,,,,
JEWEL FOOD STORE #3181,CHATHAM,44,21,,,,,,
4700 PETE'S FRESH MARKET,BRIGHTON PARK,58,14,,,,,,
LA GUERRERENSE,HERMOSA,20,30,,,,,,
LOUIS' GROCERIES,GREATER GRAND CROSSING,69,6,,,,,,
"SZYMANSKI BROS, INC",PORTAGE PARK,15,38,,,,,,
SUPERMERCADO GUADALAJARA #2,SOUTH LAWNDALE,30,24,,,,,,
JEWEL FOOD STORE #3455,UPTOWN,3,46,,,,,,
CARNICERIA DEL RIO,SOUTH LAWNDALE,30,28,,,,,,
FIESTA SUPERMARCADO,CHICAGO LAWN,66,15,,,,,,
ALDI INC #83,ASHBURN,70,18,,,,,,
WALLY'S INTERNATIONAL MARKET,AVONDALE,21,31,,,,,,
ZIAD CERTIFIED FOODS,GRAND BOULEVARD,38,3,,,,,,
SUPERMERCADO EL CUBANO INC,NEW CITY,61,20,,,,,,
FAIRPLAY FINER FOODS INC,NEW CITY,61,11,,,,,,
RITE PRICE FOOD,AUSTIN,25,29,,,,,,
KAMDAR PLAZA INC,WEST RIDGE,2,50,,,,,,
J & J EUROPEAN DELI,PORTAGE PARK,15,45,,,,,,
WORLD FRESH MARKET,WEST RIDGE,2,50,,,,,,
CITY GROCERY,NEAR NORTH SIDE,8,42,,,,,,
P & I FOOD & LIQUOR INC.,HUMBOLDT PARK,23,37,,,,,,
DANNY'S FRESH MARKET,LOGAN SQUARE,22,1,,,,,,
PETE'S MARKET,GAGE PARK,63,14,,,,,,
"TONY'S FINER FOODS ENTERPRISES, INC.",BELMONT CRAGIN,19,30,,,,,,
HAPPY FOODS,FOREST GLEN,12,45,,,,,,
DOMINICK'S FINER FOODS - STORE # 2775,WEST TOWN,24,1,,,,,,
ALDI'S #47,NEW CITY,61,3,,,,,,
AWAMI BAZAAR & ZABIHA MEAT,WEST RIDGE,2,50,,,,,,
MAKOLA AFRICAN SUPERMARKET #2,UPTOWN,3,46,,,,,,
ALDI #30,SOUTH LAWNDALE,30,12,,,,,,
Laxi Liquor,MONTCLARE,18,36,,,,,,
"EDDIE'S SUNSHINE FOOD & LIQUOR,  INC.",ROSELAND,49,9,,,,,,
"SUPER DOLLAR AND UP 4, INC.",WEST ENGLEWOOD,67,15,,,,,,
CENTRAL PARK FOODS INC,HUMBOLDT PARK,23,26,,,,,,
NEW LA ESTRELLA FOODS INC.,CHICAGO LAWN,66,15,,,,,,
STEVE FOOD & LIQUOR,WEST ENGLEWOOD,67,16,,,,,,
"KRAKUS DELI,  INC",PORTAGE PARK,15,38,,,,,,
MLB FOOD,WOODLAWN,42,20,,,,,,
ALDI'S FOODS BELMONT,AVONDALE,21,35,,,,,,
BERBATE FRUIT MARKET,DUNNING,17,38,,,,,,
Hegewisch Fruit Market Inc.,HEGEWISCH,55,10,,,,,,
FRESH BUY FOODS INC,WOODLAWN,42,20,,,,,,
GAYTAN GROCERY STORE,SOUTH LAWNDALE,30,22,,,,,,
NORTHWEST FOOD & LIQUOR,AUSTIN,25,37,,,,,,
TAI WAH GROCERY,ARMOUR SQUARE,34,25,,,,,,
ALDI,WOODLAWN,42,5,,,,,,
"RICH'S DELI & LIQUOR, INC",WEST TOWN,24,32,,,,,,
WALGREENS # 06297,CLEARING,64,23,,,,,,
TREASURE ISLAND FOODS,NEAR NORTH SIDE,8,42,,,,,,
DISCOUNT MEAT COMPANY,CHATHAM,44,17,,,,,,
ORIENTAL ASIA MARKET INC.,UPTOWN,3,46,,,,,,
VIET HOA PLAZA,UPTOWN,3,48,,,,,,
POLONIA FOOD MART,LOGAN SQUARE,22,32,,,,,,
