Chicago Community Areas,Population,Square Milage,Percentage Non-Hispanic White 2012-2016,Percentage Non-Hispanic African American or Black (2012-2016),Percentage Hispanic or Latino ,Percentage of Non-Hispanic African American or Black + Hispanic or Latino,Percentage Non-Hispanic Asian or Pacific Islander (2012-2016),Median Income,Unemployment Rate ,Food Stamps - Rate,Rate Limited food access,Percent with Easy Access to Food - 2016-18,Percent of Households with food insecurity,Number of Grocery Stores,Rate Household emergency food use ,Diabetes Rate,Average Annual Diabetes Related Deaths,Average Annual Diet-Related Deaths (2013-2017),Adult Obesity Percentage ,2
49-Roseland,"44,619.00",4.86,1.00,96.40,0.90,97.30,0.40,"40,261.00",26.00,35.50,38.20,57.00,,7.00,,17.00,41.00,230.00,52.60,
50-Pullman,"7,325.00",2.11,9.60,82.70,5.10,87.80,0.60,"36,728.00",20.30,32.10,32.00,71.60,,2.00,,10.70,6.00,31.00,28.30,
51-South Deering,"15,019.00",10.70,5.30,65.40,28.30,93.70,0.00,"35,056.00",25.40,31.40,43.60,51.10,,4.00,,19.70,12.00,59.00,42.40,
52-East Side,"23,042.00",2.80,17.10,2.40,80.00,82.40,0.30,"40,265.00",18.30,20.90,10.80,71.00,,3.00,,,16.00,59.00,35.50,
53-West Pullman,"29,651.00",3.58,1.30,92.70,4.90,97.60,0.20,"33,898.00",24.90,34.80,32.20,57.10,,5.00,,12.50,26.00,124.00,53.40,
54-Riverdale,"6,482.00",3.36,1.80,93.80,3.60,97.40,0.40,"31,933.00",36.90,59.00,13.50,64.40,,2.00,,,5.00,18.00,24.20,
55-Hegewisch,"9,426.00",4.78,44.90,4.90,50.10,55.00,0.00,"50,338.00",6.30,13.80,11.60,76.50,,3.00,,15.50,7.00,34.00,47.60,
56-Garfield Ridge,"34,513.00",4.23,45.60,4.00,48.60,52.60,0.90,"67,984.00",10.10,10.30,11.50,74.10,,4.00,,18.50,23.00,149.00,41.70,
57-Archer Heights,"13,393.00",2.01,18.70,0.60,76.90,77.50,3.30,"56,684.00",9.90,21.20,0.60,58.80,,4.00,,,7.00,27.00,59.50,
58-Brighton Park,"45,368.00",2.72,6.30,1.00,84.70,85.70,7.40,"42,758.00",11.50,26.80,12.60,56.70,,10.00,,11.10,14.00,68.00,36.40,
59-McKinley Park,"15,612.00",1.40,16.60,0.90,62.80,63.70,18.20,"39,611.00",12.50,24.10,1.80,84.30,,4.00,,,6.00,31.00,23.50,
60-Bridgeport,"31,977.00",2.10,33.40,2.60,24.90,27.50,37.20,"43,056.00",9.90,16.70,2.30,76.90,,2.00,,9.80,13.00,75.00,33.70,
61-New City,"44,377.00",4.86,12.20,23.10,61.40,84.50,2.40,"30,421.00",20.90,35.90,10.40,53.60,,17.00,,14.50,20.00,89.00,30.90,
62-West Elsdon,"18,109.00",1.18,14.20,1.10,83.10,84.20,1.50,"44,791.00",12.50,20.10,4.60,77.10,,3.00,,,7.00,37.00,39.10,
63-Gage Park,"39,894.00",2.24,3.50,3.30,92.60,95.90,0.50,"38,852.00",15.60,34.20,0.40,70.90,43.90,5.00,4.10,9.40,10.00,52.00,22.80,
64-Clearing,"23,139.00",2.56,46.30,1.30,49.70,51.00,1.40,"60,624.00",10.10,13.10,14.40,74.30,,1.00,,12.10,16.00,79.00,34.90,
65-West Lawn,"33,355.00",2.98,14.90,3.40,80.90,84.30,0.60,"50,384.00",13.40,21.50,13.00,69.40,,4.00,,13.00,13.00,70.00,29.70,
66-Chicago Lawn,"55,628.00",3.49,3.60,46.10,48.10,94.20,0.60,"33,122.00",21.90,38.40,5.80,53.90,31.70,12.00,19.60,16.80,26.00,126.00,41.60,
67-West Englewood,"35,505.00",3.15,0.80,91.70,6.10,97.80,0.10,"27,399.00",33.60,43.90,29.80,60.90,32.70,11.00,44.10,12.10,25.00,148.00,50.70,
68-Englewood,"30,654.00",3.09,0.80,94.90,2.90,97.80,0.20,"19,854.00",35.30,53.50,13.70,54.50,,8.00,,12.40,25.00,127.00,40.70,
69-Greater Grand Crossing,"32,602.00",3.56,1.30,96.40,1.20,97.60,0.10,"31,120.00",23.90,39.90,23.30,56.80,,7.00,,12.00,31.00,155.00,40.60,
70-Ashburn,"41,081.00",4.87,11.70,47.90,37.80,85.70,0.70,"63,573.00",12.80,17.10,19.20,75.10,,3.00,,7.20,24.00,132.00,36.40,
71-Auburn Gresham,"48,743.00",3.77,0.60,96.70,1.30,98.00,0.40,"35,890.00",23.60,33.30,10.70,65.00,,11.00,,14.00,43.00,237.00,42.30,
72-Beverly,"20,032.00",3.20,57.80,33.80,5.80,39.60,0.40,"90,766.00",6.60,3.10,8.80,86.20,,1.00,,7.20,9.00,63.00,32.60,
73-Washington Heights,"26,493.00",2.14,0.60,96.00,1.20,97.20,0.00,"25,390.00",18.60,25.50,22.50,59.50,,2.00,,9.20,28.00,139.00,31.80,
74-Mount Greenwood,"19,093.00",2.73,82.70,3.10,11.00,14.10,1.90,"89,536.00",4.40,3.70,4.70,82.60,,3.00,,,12.00,64.00,17.10,
75-Morgan Park,"22,544.00",3.19,33.50,55.60,8.30,63.90,0.40,"88,321.00",11.20,16.20,12.60,73.20,,7.00,,13.20,19.00,109.00,40.50,
76-O'Hare,"12,756.00",32.47,67.80,1.80,18.10,19.90,9.20,"66,741.00",8.00,11.40,24.10,74.40,,1.00,,,6.00,33.00,25.40,
77-Edgewater,"56,521.00",1.71,55.20,13.70,16.40,30.10,11.60,"46,174.00",6.90,12.50,1.60,84.90,,11.00,,9.80,30.00,155.00,24.70,
